unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay
AIR10368261;2019-6;92315;Big Bear Lake;Professionals;3;2;8;0;30;0;;;
AIR10368261;2019-7;92315;Big Bear Lake;Professionals;3;2;8;0;2;0;;;
AIR10389410;2019-1;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10389410;2019-10;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10389410;2019-11;92315;Big Bear Lake;Professionals;3;2;8;0;30;0;;;
AIR10389410;2019-12;92315;Big Bear Lake;Professionals;3;2;8;596,9399872;31;0,096774194;198,9799957;315;4
AIR10389410;2019-2;92315;Big Bear Lake;Professionals;3;2;8;2574,719955;28;0,321428571;286,079995;126,3333333;3
AIR10389410;2019-3;92315;Big Bear Lake;Professionals;3;2;8;497,9499969;31;0,064516129;248,9749985;1;2
AIR10389410;2019-4;92315;Big Bear Lake;Professionals;3;2;8;0;30;0;;;
AIR10389410;2019-5;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10389410;2019-6;92315;Big Bear Lake;Professionals;3;2;8;0;30;0;;;
AIR10389410;2019-7;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10389410;2019-8;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10389410;2019-9;92315;Big Bear Lake;Professionals;3;2;8;0;30;0;;;
AIR10424683;2019-1;92315;Big Bear Lake;Professionals;3;2;8;3399,689972;31;0,258064516;424,9612465;13,57142857;1,142857143
AIR10424683;2019-10;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10424683;2019-11;92315;Big Bear Lake;Professionals;3;2;8;900;30;0,066666667;450;3;1
AIR10424683;2019-12;92315;Big Bear Lake;Professionals;3;2;8;4449,759949;31;0,35483871;404,5236317;52,8;2,4
AIR10424683;2019-2;92315;Big Bear Lake;Professionals;3;2;8;3099,710052;28;0,214285714;516,6183421;18,2;1,2
AIR10424683;2019-3;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10424683;2019-4;92315;Big Bear Lake;Professionals;3;2;8;0;30;0;;;
AIR10424683;2019-5;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10424683;2019-6;92315;Big Bear Lake;Professionals;3;2;8;0;30;0;;;
AIR10424683;2019-7;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10424683;2019-8;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10424683;2019-9;92315;Big Bear Lake;Professionals;3;2;8;0;30;0;;;
AIR10471190;2019-1;92314;Big Bear City;2-5 Units;3;2;8;6049,34993;31;0,774193548;252,0562471;38,69230769;2
AIR10471190;2019-10;92314;Big Bear City;2-5 Units;3;2;8;1709,879974;31;0,290322581;189,9866638;39,8;1,8
AIR10471190;2019-11;92314;Big Bear City;2-5 Units;3;2;8;2259,880005;30;0,3;251,0977783;26,75;2,25
AIR10471190;2019-12;92314;Big Bear City;2-5 Units;3;2;8;6310,849915;31;0,612903226;332,1499955;77,28571429;2,857142857
AIR10471190;2019-2;92314;Big Bear City;2-5 Units;3;2;8;5444,429947;28;0,75;259,2585689;46,44444444;2,333333333
AIR10471190;2019-3;92314;Big Bear City;2-5 Units;3;2;8;4444,539963;31;0,612903226;233,9231559;19,125;2,125
AIR10471190;2019-4;92314;Big Bear City;2-5 Units;3;2;8;2904,659927;30;0,566666667;170,8623487;14,42857143;2,428571429
AIR10471190;2019-5;92314;Big Bear City;2-5 Units;3;2;8;1329,85997;31;0,225806452;189,9799957;36,25;1,75
