Url;Zestimate;Price;Rent Zestimate;Days On Zillow;Bathrooms;Bedrooms;Living Area;Lot Size;Home Type;Street Address;City;Zip;State;Country;Broker Name;Has 3D Model;Has Image;Has Video;isZillowOwned;sgapt;statusText;statusType
https://www.zillow.com/homedetails/61854-Crest-Cir-Joshua-Tree-CA-92252/17500217_zpid/;392179;399000;1897;Not specified;2;3;1100;;SINGLE_FAMILY;61854 Crest Cir;Joshua Tree;92252;CA;USA;REAL BROKERAGE TECHNOLOGIES;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/4741-Avenida-Del-Sol-Joshua-Tree-CA-92252/17498651_zpid/;753106;769000;2901;Not specified;3;4;1871;;SINGLE_FAMILY;4741 Avenida Del Sol;Joshua Tree;92252;CA;USA;Backbeat Homes;VERDADERO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/63973-Gold-Nugget-Ave-Joshua-Tree-CA-92252/137802153_zpid/;1505009;1560000;1823;Not specified;3;3;1538;;SINGLE_FAMILY;63973 Gold Nugget Ave;Joshua Tree;92252;CA;USA;BHG Desert Lifestyle Properties;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE
https://www.zillow.com/homedetails/61880-Valley-View-Cir-Joshua-Tree-CA-92252/17500268_zpid/;691000;691000;2425;Not specified;2;3;1909;;SINGLE_FAMILY;61880 Valley View Cir;Joshua Tree;92252;CA;USA;Berkshire Hathaway HomeServices;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/62176-Highland-View-Dr-Joshua-Tree-CA-92252/17498320_zpid/;578800;949000;2570;Not specified;3;3;1600;;SINGLE_FAMILY;62176 Highland View Dr;Joshua Tree;92252;CA;USA;Sharon Rose Realty, Inc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/2651-Foxy-Flats-Rd-Joshua-Tree-CA-92252/17498298_zpid/;1016200;1100000;3211;Not specified;2;3;1968;;SINGLE_FAMILY;2651 Foxy Flats Rd;Joshua Tree;92252;CA;USA;Compass;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/61464-Melton-Trl-Joshua-Tree-CA-92252/137789108_zpid/;1380952;1450000;1545;Not specified;3;3;1785;;SINGLE_FAMILY;61464 Melton Trl;Joshua Tree;92252;CA;USA;GARY CASMANO, BROKER;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE
https://www.zillow.com/homedetails/3382-Center-Ave-Joshua-Tree-CA-92252/2060708859_zpid/;;2100000;;Not specified;3;3;2160;;SINGLE_FAMILY;3382 Center Ave;Joshua Tree;92252;CA;USA;Power Real Estate;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE
https://www.zillow.com/homedetails/62610-Belmont-St-Joshua-Tree-CA-92252/17500991_zpid/;903800;925000;3111;Not specified;2;3;2071;;SINGLE_FAMILY;62610 Belmont St;Joshua Tree;92252;CA;USA;Cherie Miller & Assoc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/60205-Latham-Trl-Joshua-Tree-CA-92252/69004514_zpid/;591369;599000;2300;Not specified;2;3;1590;;SINGLE_FAMILY;60205 Latham Trl;Joshua Tree;92252;CA;USA;Homequest Real Estate;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/4590-Avenida-Del-Sol-Joshua-Tree-CA-92252/17498612_zpid/;565000;565000;1784;Not specified;1;3;985;;SINGLE_FAMILY;4590 Avenida Del Sol;Joshua Tree;92252;CA;USA;KASE Real Estate;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/7075-Sunny-Vista-Rd-Joshua-Tree-CA-92252/17499691_zpid/;593152;625000;3375;Not specified;3;3;1892;;SINGLE_FAMILY;7075 Sunny Vista Rd;Joshua Tree;92252;CA;USA;Cherie Miller & Assoc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/7837-Sunny-Vista-Rd-Joshua-Tree-CA-92252/17493735_zpid/;629823;645000;2570;Not specified;2;3;1923;;SINGLE_FAMILY;7837 Sunny Vista Rd;Joshua Tree;92252;CA;USA;TNG Real Estate Consultants;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/7070-Stoney-Crest-Dr-Joshua-Tree-CA-92252/2069748114_zpid/;;1100000;;Not specified;4;4;2678;;SINGLE_FAMILY;7070 Stoney Crest Dr;Joshua Tree;92252;CA;USA;Keller Williams Realty;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/0-Sunfair-Rd-Joshua-Tree-CA-92252/2122899357_zpid/;;1800000;3499;Not specified;4;4;2200;;SINGLE_FAMILY;0 Sunfair Rd;Joshua Tree;92252;CA;USA;Berkshire Hathaway HomeService;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE
